,回答者33,回答者34,回答者35,回答者36,回答者37,回答者38,回答者39,回答者40,回答者41,回答者42,回答者43,回答者44,回答者45,回答者46,回答者47,回答者48,回答者49,回答者50,回答者51,回答者52
氏名（仮名）,学生33,学生34,学生35,学生36,学生37,学生38,学生39,学生40,学生41,学生42,学生43,学生44,学生45,学生46,学生47,学生48,学生49,学生50,学生51,学生52
所属・学年,工学部 機械知能・航空工学科 学部3年,経済学部 経済学科 学部2年,文学部 英文学科 学部4年,情報科学研究科 応用情報学専攻 修士2年,工学部 機械知能・航空工学科 学部3年,医学部 医学科 学部5年,医学部 医学科 学部5年,経済学部 経済学科 学部2年,教育学部 教育学科 学部1年,情報科学研究科 応用情報学専攻 修士2年,情報科学研究科 応用情報学専攻 修士2年,理学研究科 化学専攻 修士1年,医学部 医学科 学部5年,薬学研究科 分子薬科学専攻 博士2年,情報科学研究科 応用情報学専攻 修士2年,教育学部 教育学科 学部1年,経済学部 経済学科 学部2年,法学部 法律学科 学部3年,経済学部 経済学科 学部2年,文学部 英文学科 学部4年
留学期間（年月〜年月）,2025/03〜2025/08,2024/04〜2025/01,2023/01〜2024/01,2024/01〜2024/05,2025/04〜2025/07,2023/02〜2023/07,2024/08〜2024/10,2025/02〜2025/08,2024/02〜2024/03,2024/05〜2024/10,2025/02〜2025/11,2023/08〜2024/08,2024/04〜2024/07,2024/04〜2024/08,2025/06〜2025/08,2024/08〜2024/11,2024/08〜2025/08,2025/05〜2025/09,2025/07〜2025/09,2024/04〜2024/10
留学タイプ,短期語学,交換留学,交換留学,集中型,インターン留学,短期語学,インターン留学,短期語学,短期語学,インターン留学,インターン留学,交換留学,短期語学,短期語学,インターン留学,交換留学,集中型,インターン留学,短期語学,研究留学
国・地域,カナダ,カナダ,中国,シンガポール,韓国,イギリス,シンガポール,シンガポール,オーストラリア,イタリア,イギリス,フランス,イギリス,ドイツ,オーストラリア,アメリカ,フランス,ドイツ,アメリカ,アメリカ
大学名（留学先機関）,University of Toronto,University of Toronto,Tsinghua University,NUS,Seoul National University,University of Manchester,NUS,NUS,University of Sydney,Politecnico di Milano,University of Manchester,Sorbonne Université,University of Manchester,Technical University of Munich,University of Sydney,Rice University,Sorbonne Université,Technical University of Munich,Rice University,Rice University
指導言語,英語,英語,中国語/英語,英語,韓国語/英語,英語,英語,英語,英語,英語/イタリア語,英語,英語/フランス語,英語,英語/ドイツ語,英語,英語,英語/フランス語,英語/ドイツ語,英語,英語
所属（英語）/専攻,Pharmacology,Computer Science,Pharmacology,Computer Science,Biology,Pharmacology,Materials Science,Computer Science,Education,Materials Science,Materials Science,Computer Science,Computer Science,Chemistry,Materials Science,Mechanical Engineering,Computer Science,Mechanical Engineering,Materials Science,Economics
〔留学前〕大学を選んだ理由,University of TorontoはPharmacology分野で評価が高く、少人数での指導が受けられると聞いたため。,University of TorontoはComputer Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Tsinghua UniversityはPharmacology分野で評価が高く、少人数での指導が受けられると聞いたため。,NUSはComputer Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Seoul National UniversityはBiology分野で評価が高く、少人数での指導が受けられると聞いたため。,University of ManchesterはPharmacology分野で評価が高く、少人数での指導が受けられると聞いたため。,NUSはMaterials Science分野で評価が高く、少人数での指導が受けられると聞いたため。,NUSはComputer Science分野で評価が高く、少人数での指導が受けられると聞いたため。,University of SydneyはEducation分野で評価が高く、少人数での指導が受けられると聞いたため。,Politecnico di MilanoはMaterials Science分野で評価が高く、少人数での指導が受けられると聞いたため。,University of ManchesterはMaterials Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Sorbonne UniversitéはComputer Science分野で評価が高く、少人数での指導が受けられると聞いたため。,University of ManchesterはComputer Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Technical University of MunichはChemistry分野で評価が高く、少人数での指導が受けられると聞いたため。,University of SydneyはMaterials Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Rice UniversityはMechanical Engineering分野で評価が高く、少人数での指導が受けられると聞いたため。,Sorbonne UniversitéはComputer Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Technical University of MunichはMechanical Engineering分野で評価が高く、少人数での指導が受けられると聞いたため。,Rice UniversityはMaterials Science分野で評価が高く、少人数での指導が受けられると聞いたため。,Rice UniversityはEconomics分野で評価が高く、少人数での指導が受けられると聞いたため。
〔留学前〕決め手となった助言・イベント,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。,ゼミの先輩から具体的な履修例を聞き、不安が減ったことが大きかった。
